,Total Estimated Day Count ,?850,,
,,,,
,Sign-off Phase,,,
,Sample Tasks,,,
,"Project Closure - Sign-off by customer, Hand-over to support mechanisms (Normal-Alert)",,,
,Project review workshop,,,
,Lessons learnt document,,,
,Review and rework standard configurations and documentation ready for the subsequent roll-out (PSL Assistance),,,
,Total Estimated Day Count ,?850,,
,,,,
,Total Estimate Project Day Count ,?850,,
,,,,
,total Investment ,,,
,,,,
,Annual Maintenace and Support ,,,
,Standard Maintenance ,20% of Software Value ,,#REF!
,24 X 7 Critical Maintenance ,30% of Software Value,,#REF!
,,,,
#,,,,
,Indicitive Wireless Site Survey / Infrastruture and Mobile Computing Costs ,,,
,,,,
,Written Site Survey,950,1,950
,Access Points - Cisco Lancom - Indoor Outdoor IP rating etc. - Per Access Point Qty dependent on site survey,500,10,5000
,Cabling Wiring /Routers,5000,1,5000
,"Industrial Type Scanner - Honeywell, Psion, Datalogics ",3000,12,36000
,?˜˜˜˜˜˜˜˜˜˜˜˜ Get Industrial handheld units ? Robust for drops ? anything else a nonsense,,,
,?˜˜˜˜˜˜˜˜˜˜˜˜ Units must run ?TELNET? Sessions,,,
,?˜˜˜˜˜˜˜˜˜˜˜˜ Main manufacturers,,,
,?˜˜˜˜˜˜˜˜˜˜˜˜ Ensure Guns include:-,,,
,Internal Radio Unit 802.11 b,,,
,Windows CE.NET vs 5.0 with Teklogix Emulation Software ,,,
,Intel PAX279 Mhz Processor at 520MHZ,,,
,64MB Ram,,,
,Alpha Numeric Keypad,,,
,Integrated hi-vis scanner,,,
,Battery,,,
,Spare Battery ,,,
,Shoulder Strap ,,,
,Rubber Case ,,,
,PSL will assist in this area,,,
,Charger per device or Gang Charger,1000,2,2000
,Vocollect /Intermec Hardware - Average Cost per device including below,3000,5,15000
,Vocollect Talkman Voice Terminal,,,
,Voice Client,,,
,Combo Charger -Holds 5 terminals + 5 batteries - for A500's,,,
,INTERMEC˜ 850-819-001 Snap-on adapter for enabling Vocollect wired headset,,,
,Intermec˜Holder for CK3 inc. Snap on adaptor,,,
,SR-20 Wired Headset - 2 per device (A500 & CK3),,,
,Belt or Belt Clip,,,
,Hi Capacity Battery,,,
,Spare Parts Bundle,,,
,Training DVD,,,
,Wired Listening Kit,,,
,Wireless Listening Kit,,,
,Configuration Cable,,,
,Visual Training Device,,,
,Storage Cabinet,,,
,Mobile Printer - Zebra QL420 ,1500,2,3000
,Chargers,,,
,Shoulder Strap ,,,
,Spare Battery ,,,
,802.11 Radio Unit ,,,
,Fixed Label Printer - Zebra ZM600,2900,1,2900
,,,,
,Indicitive Wireless Site Survey / Infrastruture and Mobile Computing Costs ,,,69850
